label,round,parameter,value,runs,avg_gap,worst_dataset_avg_gap,best_gap,worst_gap,exact_hits,avg_time,population_size,generations,crossover_rate,mutation_rate,elite_count,tournament_k
GA/scholl-3,0,initial,,3,4.0,4.0,4,4,0,6.290705265667687,60,400,0.85,0.2,4,4
GA/scholl-3,1,population_size,20,3,4.0,4.0,4,4,0,1.72802794499997,20,400,0.85,0.2,4,4
GA/scholl-3,1,population_size,40,3,4.0,4.0,4,4,0,3.9679531736668046,40,400,0.85,0.2,4,4
GA/scholl-3,1,population_size,60,3,4.0,4.0,4,4,0,6.307905890999488,60,400,0.85,0.2,4,4
GA/scholl-3,1,population_size,100,3,4.0,4.0,4,4,0,10.945963797665172,100,400,0.85,0.2,4,4
GA/scholl-3,1,generations,100,3,4.0,4.0,4,4,0,0.4328742406663271,20,100,0.85,0.2,4,4
GA/scholl-3,1,generations,200,3,4.0,4.0,4,4,0,0.8749112863321594,20,200,0.85,0.2,4,4
GA/scholl-3,1,generations,300,3,4.0,4.0,4,4,0,1.2972657513346348,20,300,0.85,0.2,4,4
GA/scholl-3,1,generations,400,3,4.0,4.0,4,4,0,1.6773713836664683,20,400,0.85,0.2,4,4
GA/scholl-3,1,crossover_rate,0.5,3,4.0,4.0,4,4,0,0.3627164943342602,20,100,0.5,0.2,4,4
GA/scholl-3,1,crossover_rate,0.7,3,4.0,4.0,4,4,0,0.39148241599832545,20,100,0.7,0.2,4,4
GA/scholl-3,1,crossover_rate,0.85,3,4.0,4.0,4,4,0,0.4562954253330342,20,100,0.85,0.2,4,4
GA/scholl-3,1,crossover_rate,0.95,3,4.0,4.0,4,4,0,0.4930426946678684,20,100,0.95,0.2,4,4
GA/scholl-3,1,mutation_rate,0.05,3,4.0,4.0,4,4,0,0.34381707033268566,20,100,0.5,0.05,4,4
GA/scholl-3,1,mutation_rate,0.1,3,4.0,4.0,4,4,0,0.3647959366668753,20,100,0.5,0.1,4,4
GA/scholl-3,1,mutation_rate,0.2,3,4.0,4.0,4,4,0,0.35694708266722347,20,100,0.5,0.2,4,4
GA/scholl-3,1,mutation_rate,0.4,3,4.0,4.0,4,4,0,0.38994433499950293,20,100,0.5,0.4,4,4
GA/scholl-3,1,elite_count,2,3,4.0,4.0,4,4,0,0.45224741200217977,20,100,0.5,0.05,2,4
GA/scholl-3,1,elite_count,4,3,4.0,4.0,4,4,0,0.41212876033387147,20,100,0.5,0.05,4,4
GA/scholl-3,1,elite_count,6,3,4.0,4.0,4,4,0,0.37782923300013255,20,100,0.5,0.05,6,4
GA/scholl-3,1,elite_count,8,3,4.0,4.0,4,4,0,0.3004173249998227,20,100,0.5,0.05,8,4
GA/scholl-3,1,tournament_k,2,3,4.0,4.0,4,4,0,0.30700611066640704,20,100,0.5,0.05,8,2
GA/scholl-3,1,tournament_k,3,3,4.0,4.0,4,4,0,0.3072152446657128,20,100,0.5,0.05,8,3
GA/scholl-3,1,tournament_k,4,3,4.0,4.0,4,4,0,0.2745306819997495,20,100,0.5,0.05,8,4
GA/scholl-3,1,tournament_k,6,3,4.0,4.0,4,4,0,0.29458637566616136,20,100,0.5,0.05,8,6
