Name,Best LB,Best UB,Status,Selected
201_2500_NR_0.txt,66,66,Solved,1
201_2500_NR_1.txt,66,66,Solved,1
201_2500_NR_2.txt,66,66,Solved,1
201_2500_NR_3.txt,66,66,Solved,1
201_2500_NR_4.txt,66,66,Solved,1
201_2500_NR_5.txt,66,66,Solved,1
201_2500_NR_6.txt,66,66,Solved,1
201_2500_NR_7.txt,66,66,Solved,1
201_2500_NR_8.txt,66,66,Solved,1
201_2500_NR_9.txt,66,66,Solved,1
201_2500_NR_10.txt,66,66,Solved,1
201_2500_NR_11.txt,66,66,Solved,1
201_2500_NR_12.txt,66,66,Solved,1
201_2500_NR_13.txt,66,66,Solved,1
201_2500_NR_14.txt,66,66,Solved,1
201_2500_NR_15.txt,66,66,Solved,1
201_2500_NR_16.txt,66,66,Solved,1
201_2500_NR_17.txt,66,66,Solved,1
201_2500_NR_18.txt,66,66,Solved,1
201_2500_NR_19.txt,66,66,Solved,1
201_2500_NR_20.txt,66,66,Solved,1
201_2500_NR_21.txt,66,66,Solved,1
201_2500_NR_22.txt,66,66,Solved,1
201_2500_NR_23.txt,66,66,Solved,1
201_2500_NR_24.txt,66,66,Solved,1
201_2500_NR_25.txt,66,66,Solved,1
201_2500_NR_26.txt,66,66,Solved,1
201_2500_NR_27.txt,66,66,Solved,1
201_2500_NR_28.txt,66,66,Solved,1
201_2500_NR_29.txt,66,66,Solved,1
201_2500_NR_30.txt,66,66,Solved,1
201_2500_NR_31.txt,66,66,Solved,1
201_2500_NR_32.txt,66,66,Solved,1
201_2500_NR_33.txt,66,66,Solved,1
201_2500_NR_34.txt,66,66,Solved,1
201_2500_NR_35.txt,66,66,Solved,1
201_2500_NR_36.txt,66,66,Solved,1
201_2500_NR_37.txt,66,66,Solved,1
201_2500_NR_38.txt,66,66,Solved,1
201_2500_NR_39.txt,66,66,Solved,1
201_2500_NR_40.txt,66,66,Solved,1
201_2500_NR_41.txt,66,66,Solved,1
201_2500_NR_42.txt,66,66,Solved,1
201_2500_NR_43.txt,66,66,Solved,1
201_2500_NR_44.txt,66,66,Solved,1
201_2500_NR_45.txt,66,66,Solved,1
201_2500_NR_46.txt,66,66,Solved,1
201_2500_NR_47.txt,66,66,Solved,1
201_2500_NR_48.txt,66,66,Solved,1
201_2500_NR_49.txt,66,66,Solved,1
402_10000_NR_0.txt,133,133,Solved,1
402_10000_NR_1.txt,133,133,Solved,1
402_10000_NR_2.txt,133,133,Solved,1
402_10000_NR_3.txt,133,133,Solved,1
402_10000_NR_4.txt,133,133,Solved,1
402_10000_NR_5.txt,133,133,Solved,1
402_10000_NR_6.txt,133,133,Solved,1
402_10000_NR_7.txt,133,133,Solved,1
402_10000_NR_8.txt,133,133,Solved,1
402_10000_NR_9.txt,133,133,Solved,1
402_10000_NR_10.txt,133,133,Solved,1
402_10000_NR_11.txt,133,133,Solved,1
402_10000_NR_12.txt,133,133,Solved,1
402_10000_NR_13.txt,133,133,Solved,1
402_10000_NR_14.txt,133,133,Solved,1
402_10000_NR_15.txt,133,133,Solved,1
402_10000_NR_16.txt,133,133,Solved,1
402_10000_NR_17.txt,133,133,Solved,1
402_10000_NR_18.txt,133,133,Solved,1
402_10000_NR_19.txt,133,133,Solved,1
402_10000_NR_20.txt,133,133,Solved,1
402_10000_NR_21.txt,133,133,Solved,1
402_10000_NR_22.txt,133,133,Solved,1
402_10000_NR_23.txt,133,133,Solved,1
402_10000_NR_24.txt,133,133,Solved,1
402_10000_NR_25.txt,133,133,Solved,1
402_10000_NR_26.txt,133,133,Solved,1
402_10000_NR_27.txt,133,133,Solved,1
402_10000_NR_28.txt,133,133,Solved,1
402_10000_NR_29.txt,133,133,Solved,1
