Name,Best LB,Best UB,Status
csAA125_1.txt,527,527,Solved
csAA125_2.txt,525,525,Solved
csAA125_3.txt,522,522,Solved
csAA125_4.txt,567,567,Solved
csAA125_5.txt,523,523,Solved
csAA125_6.txt,567,567,Solved
csAA125_7.txt,573,573,Solved
csAA125_8.txt,542,542,Solved
csAA125_9.txt,515,515,Solved
csAA125_10.txt,512,512,Solved
csAA125_11.txt,570,570,Solved
csAA125_12.txt,590,590,Solved
csAA125_13.txt,559,559,Solved
csAA125_14.txt,600,600,Solved
csAA125_15.txt,548,548,Solved
csAA125_16.txt,552,552,Solved
csAA125_17.txt,604,604,Solved
csAA125_18.txt,536,536,Solved
csAA125_19.txt,634,634,Solved
csAA125_20.txt,524,524,Solved
csAA250_1.txt,1061,1061,Solved
csAA250_2.txt,1169,1169,Solved
csAA250_3.txt,997,997,Solved
csAA250_4.txt,1143,1143,Solved
csAA250_5.txt,1034,1034,Solved
csAA250_6.txt,1049,1049,Solved
csAA250_7.txt,1030,1030,Solved
csAA250_8.txt,1118,1118,Solved
csAA250_9.txt,994,994,Solved
csAA250_10.txt,1041,1041,Solved
csAA250_11.txt,1021,1021,Solved
csAA250_12.txt,1067,1067,Solved
csAA250_13.txt,1091,1091,Solved
csAA250_14.txt,963,963,Solved
csAA250_15.txt,1061,1061,Solved
csAA250_16.txt,1081,1081,Solved
csAA250_17.txt,1084,1084,Solved
csAA250_18.txt,1067,1067,Solved
csAA250_19.txt,1043,1043,Solved
csAA250_20.txt,1095,1095,Solved
csAA500_1.txt,2042,2042,Solved
csAA500_2.txt,1913,1913,Solved
csAA500_3.txt,2044,2044,Solved
csAA500_4.txt,1982,1982,Solved
csAA500_5.txt,2099,2099,Solved
csAA500_6.txt,2023,2023,Solved
csAA500_7.txt,2090,2090,Solved
csAA500_8.txt,1953,1953,Solved
csAA500_9.txt,2201,2201,Solved
csAA500_10.txt,2005,2005,Solved
csAA500_11.txt,1992,1992,Solved
csAA500_12.txt,2047,2047,Solved
csAA500_13.txt,2206,2206,Solved
csAA500_14.txt,2110,2110,Solved
csAA500_15.txt,2041,2041,Solved
csAA500_16.txt,2124,2124,Solved
csAA500_17.txt,2120,2120,Solved
csAA500_18.txt,2084,2084,Solved
csAA500_19.txt,2114,2114,Solved
csAA500_20.txt,2134,2134,Solved
csAB125_1.txt,519,519,Solved
csAB125_2.txt,408,408,Solved
csAB125_3.txt,484,484,Solved
csAB125_4.txt,460,460,Solved
csAB125_5.txt,511,511,Solved
csAB125_6.txt,457,457,Solved
csAB125_7.txt,419,419,Solved
csAB125_8.txt,450,450,Solved
csAB125_9.txt,444,444,Solved
csAB125_10.txt,505,505,Solved
csAB125_11.txt,433,433,Solved
csAB125_12.txt,454,454,Solved
csAB125_13.txt,438,438,Solved
csAB125_14.txt,466,466,Solved
csAB125_15.txt,389,389,Solved
csAB125_16.txt,442,442,Solved
csAB125_17.txt,461,461,Solved
csAB125_18.txt,457,457,Solved
csAB125_19.txt,449,449,Solved
csAB125_20.txt,446,446,Solved
csAB250_1.txt,893,893,Solved
csAB250_2.txt,893,893,Solved
csAB250_3.txt,930,930,Solved
csAB250_4.txt,933,933,Solved
csAB250_5.txt,914,914,Solved
csAB250_6.txt,863,863,Solved
csAB250_7.txt,868,868,Solved
csAB250_8.txt,871,871,Solved
csAB250_9.txt,928,928,Solved
csAB250_10.txt,947,947,Solved
csAB250_11.txt,886,886,Solved
csAB250_12.txt,874,874,Solved
csAB250_13.txt,886,886,Solved
csAB250_14.txt,917,917,Solved
csAB250_15.txt,890,890,Solved
csAB250_16.txt,899,899,Solved
csAB250_17.txt,974,974,Solved
csAB250_18.txt,836,836,Solved
csAB250_19.txt,936,936,Solved
csAB250_20.txt,964,964,Solved
csAB500_1.txt,1818,1818,Solved
csAB500_2.txt,1731,1731,Solved
csAB500_3.txt,1824,1824,Solved
csAB500_4.txt,1778,1778,Solved
csAB500_5.txt,1780,1780,Solved
csAB500_6.txt,1752,1752,Solved
csAB500_7.txt,1873,1873,Solved
csAB500_8.txt,1771,1771,Solved
csAB500_9.txt,1756,1756,Solved
csAB500_10.txt,1831,1831,Solved
csAB500_11.txt,1745,1745,Solved
csAB500_12.txt,1763,1763,Solved
csAB500_13.txt,1879,1879,Solved
csAB500_14.txt,1725,1725,Solved
csAB500_15.txt,1786,1786,Solved
csAB500_16.txt,1840,1840,Solved
csAB500_17.txt,1877,1877,Solved
csAB500_18.txt,1828,1828,Solved
csAB500_19.txt,1793,1793,Solved
csAB500_20.txt,1755,1755,Solved
csBA125_1.txt,598,598,Solved
csBA125_2.txt,569,569,Solved
csBA125_3.txt,561,561,Solved
csBA125_4.txt,536,536,Solved
csBA125_5.txt,524,524,Solved
csBA125_6.txt,585,585,Solved
csBA125_7.txt,509,509,Solved
csBA125_8.txt,530,530,Solved
csBA125_9.txt,577,577,Solved
csBA125_10.txt,577,577,Solved
csBA125_11.txt,499,499,Solved
csBA125_12.txt,493,493,Solved
csBA125_13.txt,512,512,Solved
csBA125_14.txt,608,608,Solved
csBA125_15.txt,560,560,Solved
csBA125_16.txt,611,611,Solved
csBA125_17.txt,604,604,Solved
csBA125_18.txt,550,550,Solved
csBA125_19.txt,563,563,Solved
csBA125_20.txt,478,478,Solved
csBA250_1.txt,1041,1041,Solved
csBA250_2.txt,1087,1087,Solved
csBA250_3.txt,1077,1077,Solved
csBA250_4.txt,1056,1056,Solved
csBA250_5.txt,1104,1104,Solved
csBA250_6.txt,1061,1061,Solved
csBA250_7.txt,1047,1047,Solved
csBA250_8.txt,1079,1079,Solved
csBA250_9.txt,1135,1135,Solved
csBA250_10.txt,1074,1074,Solved
csBA250_11.txt,1091,1091,Solved
csBA250_12.txt,1071,1071,Solved
csBA250_13.txt,1060,1060,Solved
csBA250_14.txt,1004,1004,Solved
csBA250_15.txt,1072,1072,Solved
csBA250_16.txt,1054,1054,Solved
csBA250_17.txt,1073,1073,Solved
csBA250_18.txt,1011,1011,Solved
csBA250_19.txt,1057,1057,Solved
csBA250_20.txt,1094,1094,Solved
csBA500_1.txt,2118,2118,Solved
csBA500_2.txt,2071,2071,Solved
csBA500_3.txt,2142,2142,Solved
csBA500_4.txt,2065,2065,Solved
csBA500_5.txt,2169,2169,Solved
csBA500_6.txt,2026,2026,Solved
csBA500_7.txt,2052,2052,Solved
csBA500_8.txt,2097,2097,Solved
csBA500_9.txt,2058,2058,Solved
csBA500_10.txt,2196,2196,Solved
csBA500_11.txt,2155,2155,Solved
csBA500_12.txt,2084,2084,Solved
csBA500_13.txt,2180,2180,Solved
csBA500_14.txt,2156,2156,Solved
csBA500_15.txt,2249,2249,Solved
csBA500_16.txt,2152,2152,Solved
csBA500_17.txt,2179,2179,Solved
csBA500_18.txt,2057,2057,Solved
csBA500_19.txt,2081,2081,Solved
csBA500_20.txt,2124,2124,Solved
csBB125_1.txt,532,532,Solved
csBB125_2.txt,486,486,Solved
csBB125_3.txt,440,440,Solved
csBB125_4.txt,419,419,Solved
csBB125_5.txt,424,424,Solved
csBB125_6.txt,422,422,Solved
csBB125_7.txt,467,467,Solved
csBB125_8.txt,454,454,Solved
csBB125_9.txt,426,426,Solved
csBB125_10.txt,446,446,Solved
csBB125_11.txt,493,493,Solved
csBB125_12.txt,490,490,Solved
csBB125_13.txt,429,429,Solved
csBB125_14.txt,482,482,Solved
csBB125_15.txt,518,518,Solved
csBB125_16.txt,484,484,Solved
csBB125_17.txt,548,548,Solved
csBB125_18.txt,499,499,Solved
csBB125_19.txt,452,452,Solved
csBB125_20.txt,473,473,Solved
csBB250_1.txt,913,913,Solved
csBB250_2.txt,915,915,Solved
csBB250_3.txt,934,934,Solved
csBB250_4.txt,932,932,Solved
csBB250_5.txt,829,829,Solved
csBB250_6.txt,913,913,Solved
