Name,Best LB,Best UB,Status,Selected
Schwerin1_BPP1.txt,18,18,Solved,1
Schwerin1_BPP2.txt,18,18,Solved,1
Schwerin1_BPP3.txt,18,18,Solved,1
Schwerin1_BPP4.txt,18,18,Solved,1
Schwerin1_BPP5.txt,18,18,Solved,1
Schwerin1_BPP6.txt,18,18,Solved,1
Schwerin1_BPP7.txt,18,18,Solved,1
Schwerin1_BPP8.txt,18,18,Solved,1
Schwerin1_BPP9.txt,18,18,Solved,1
Schwerin1_BPP10.txt,18,18,Solved,1
Schwerin1_BPP11.txt,18,18,Solved,1
Schwerin1_BPP12.txt,18,18,Solved,1
Schwerin1_BPP13.txt,18,18,Solved,1
Schwerin1_BPP14.txt,18,18,Solved,1
Schwerin1_BPP15.txt,18,18,Solved,1
Schwerin1_BPP16.txt,18,18,Solved,1
Schwerin1_BPP17.txt,18,18,Solved,1
Schwerin1_BPP18.txt,18,18,Solved,1
Schwerin1_BPP19.txt,18,18,Solved,1
Schwerin1_BPP20.txt,18,18,Solved,1
Schwerin1_BPP21.txt,18,18,Solved,1
Schwerin1_BPP22.txt,18,18,Solved,1
Schwerin1_BPP23.txt,18,18,Solved,1
Schwerin1_BPP24.txt,18,18,Solved,1
Schwerin1_BPP25.txt,18,18,Solved,1
Schwerin1_BPP26.txt,18,18,Solved,1
Schwerin1_BPP27.txt,18,18,Solved,1
Schwerin1_BPP28.txt,18,18,Solved,1
Schwerin1_BPP29.txt,18,18,Solved,1
Schwerin1_BPP30.txt,18,18,Solved,1
Schwerin1_BPP31.txt,18,18,Solved,1
Schwerin1_BPP32.txt,18,18,Solved,1
Schwerin1_BPP33.txt,18,18,Solved,1
Schwerin1_BPP34.txt,18,18,Solved,1
Schwerin1_BPP35.txt,18,18,Solved,1
Schwerin1_BPP36.txt,18,18,Solved,1
Schwerin1_BPP37.txt,18,18,Solved,1
Schwerin1_BPP38.txt,18,18,Solved,1
Schwerin1_BPP39.txt,18,18,Solved,1
Schwerin1_BPP40.txt,18,18,Solved,1
Schwerin1_BPP41.txt,18,18,Solved,1
Schwerin1_BPP42.txt,18,18,Solved,1
Schwerin1_BPP43.txt,18,18,Solved,1
Schwerin1_BPP44.txt,18,18,Solved,1
Schwerin1_BPP45.txt,18,18,Solved,1
Schwerin1_BPP46.txt,18,18,Solved,1
Schwerin1_BPP47.txt,18,18,Solved,1
Schwerin1_BPP48.txt,18,18,Solved,1
Schwerin1_BPP49.txt,18,18,Solved,1
Schwerin1_BPP50.txt,18,18,Solved,1
Schwerin1_BPP51.txt,18,18,Solved,1
Schwerin1_BPP52.txt,18,18,Solved,1
