Name,Best LB,Best UB,Status,Selected
Waescher_TEST0022.txt,15,15,Solved,1
Waescher_TEST0065.txt,16,16,Solved,1
Waescher_TEST0097.txt,12,12,Solved,1
Waescher_TEST0058.txt,20,20,Solved,1
Waescher_TEST0055A.txt,15,15,Solved,1
Waescher_TEST0055B.txt,20,20,Solved,1
Waescher_TEST0049.txt,11,11,Solved,1
Waescher_TEST0075.txt,13,13,Solved,1
Waescher_TEST0054.txt,14,14,Solved,1
Waescher_TEST0068.txt,12,12,Solved,1
Waescher_TEST0014.txt,23,23,Solved,1
Waescher_TEST0082.txt,24,24,Solved,1
Waescher_TEST0044.txt,14,14,Solved,1
Waescher_TEST0030.txt,27,27,Solved,1
Waescher_TEST0005.txt,28,28,Solved,1
Waescher_TEST0095.txt,16,16,Solved,1
Waescher_TEST0084.txt,16,16,Solved,1
